whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,9,,,,,,,,,35.52678510000078,None,35.52678510000078,None,8,0.9814684999983001,35.52678510000078,None,36.54807600000095,None,1.9619238476953909,38.75593960000151,None,38.75593960000151,38.963784400000804,38.75593960000151,38.963784400000804,['1'],[0.5841984999988199],38.75593960000151,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MM-306-010-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,15,,,,,,,,,,,,,,,,,,,1.875751503006012,40.900961800000005,40.900961800000005,40.900961800000005,41.11595130000023,40.900961800000005,41.11595130000023,['8'],[0.4713929999979882],40.900961800000005,40.900961800000005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,,,,1.591182364729459,42.91756730000088,42.91756730000088,42.91756730000088,43.118005899999844,42.91756730000088,43.118005899999844,['8'],[0.5019030999992538],42.91756730000088,42.91756730000088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-627-178-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,1.8677354709418836,44.65528350000022,44.65528350000022,44.65528350000022,44.869704400000046,44.65528350000022,44.869704400000046,['1'],[0.5089301999978488],44.65528350000022,44.65528350000022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,1.8807615230460921,46.662315300000046,46.662315300000046,46.662315300000046,46.87187030000132,46.662315300000046,46.87187030000132,['8'],[0.4855891999995947],46.662315300000046,46.662315300000046,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,1.7625250501002003,48.67666199999985,48.67666199999985,48.67666199999985,48.890477300001294,48.67666199999985,48.890477300001294,['8'],[0.5204034999987925],48.67666199999985,48.67666199999985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-212-315-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,13,,,,,,,,,,,,,,,,,,,1.6432865731462925,50.57913540000118,50.57913540000118,50.57913540000118,50.792343600000095,50.57913540000118,50.792343600000095,['8'],[0.4883576999982324],50.57913540000118,50.57913540000118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,1.7374749498997997,52.355045000000246,52.355045000000246,52.355045000000246,52.560755399999834,52.355045000000246,52.560755399999834,['1'],[0.473448599997937],52.355045000000246,52.355045000000246,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,1.660320641282565,54.23444870000094,54.23444870000094,54.23444870000094,54.446666100000584,54.23444870000094,54.446666100000584,['1'],[0.6099695999982941],54.23444870000094,54.23444870000094,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-223-133-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,1.844689378757515,56.0333713,56.0333713,56.0333713,56.24773220000134,56.0333713,56.24773220000134,['1'],[0.49105299999791896],56.0333713,56.0333713,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
