middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face923_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face890_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face230_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face399_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face445_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face442_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face117_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face184_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face823_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face227_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face029_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face403_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face337_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face490_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face751_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face731_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face508_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face575_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face830_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face840_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face046_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face421_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face498_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face181_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face157_0.png,"[.03, .03]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face507_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face644_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face450_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face915_0.png,"[.03, .03]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face625_0.png,"[.03, .03]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.036,0]","[-.036,0]",img/renders/face145_0.png,"[.03, .03]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.036,0]","[-.036,0]",img/renders/face424_0.png,"[.03, .03]"
