whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,prac_stim_keyResp.rt,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.035, 0.035]",0,0,0,0,0,0,0,19,18.614472291010316,None,18.614472291010316,None,8,0.1863125370000489,18.614472291010316,None,18.85136773600243,None,3.9989979959919837,21.12593592000485,None,21.12593592000485,21.48692346800817,21.252698686002987,21.452663574003964,None,21.12593592000485,None,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-241-125-N.jpg,"[0.035, 0.035]",0,0,0,0,0,1,1,17,,,,,,,,,,,3.782565130260521,25.34850590401038,25.34850590401038,25.34850590401038,25.701339704013662,25.484520192010677,25.684187677004957,None,25.34850590401038,25.34850590401038,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MM-317-061-N.jpg,"[0.035, 0.035]",0,0,0,0,0,2,2,13,,,,,,,,,,,3.5,29.351451500013354,29.351451500013354,29.351451500013354,29.716684816012275,29.499994478013832,29.7016158500046,None,29.351451500013354,29.351451500013354,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LF-224-176-N.jpg,"[0.035, 0.035]",0,0,0,0,0,3,3,15,,,,,,,,,,,3.700400801603206,33.071996787009994,33.071996787009994,33.071996787009994,33.43140227200638,33.21590396000829,33.43140227200638,None,33.071996787009994,33.071996787009994,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.035, 0.035]",0,0,0,0,0,4,4,14,,,,,,,,,,,3.963927855711423,36.99370626200107,36.99370626200107,36.99370626200107,37.34663218801143,37.130910992011195,37.33011418400565,None,36.99370626200107,36.99370626200107,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-204-038-N.jpg,"[0.035, 0.035]",0,0,0,0,0,5,5,16,,,,,,,,,,,3.6082164328657313,41.19080862800183,41.19080862800183,41.19080862800183,41.54748280000058,41.33069517900003,41.53056330000982,None,41.19080862800183,41.19080862800183,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-733-110-N.jpg,"[0.035, 0.035]",0,0,0,0,0,6,6,1,,,,,,,,,,,3.9619238476953904,45.03329610300716,45.03329610300716,45.03329610300716,45.39503000500554,45.17887829100073,45.37897993900697,None,45.03329610300716,45.03329610300716,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-630-134-N.jpg,"[0.035, 0.035]",0,0,0,0,0,7,7,10,,,,,,,,,,,3.5631262525050102,49.21808176500781,49.21808176500781,49.21808176500781,49.57905864600616,49.36060183000518,49.56232378500863,None,49.21808176500781,49.21808176500781,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-211-052-N.jpg,"[0.035, 0.035]",0,0,0,0,0,8,8,7,,,,,,,,,,,3.9619238476953904,52.99101418000646,52.99101418000646,52.99101418000646,53.342630332001136,53.12762401800137,53.32704325800296,None,52.99101418000646,52.99101418000646,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MM-322-002-N.jpg,"[0.035, 0.035]",0,0,0,0,0,9,9,11,,,,,,,,,,,3.8967935871743484,57.17386156700377,57.17386156700377,57.17386156700377,57.524302509002155,57.30778984200151,57.50773805100471,None,57.17386156700377,57.17386156700377,0,,,,,,,,,,999,A,A,2022-06-07_16h46.43.740,face_flanker_v1,2022.1.4,59.56149138157196,
