"id","congAcc","incongAcc","congCorr_meanRT","incongCorr_meanRT","congCorr_logMeanRT","incongCorr_logMeanRT","flankEff_meanACC","flankEff_meanRT","flankEff_logMeanRT","reported_errors","committed_errors","memoryBias_score","num_incong_errorFaces_reported_old","num_incong_errorFaces_reported_new","num_incong_corrFaces_reported_old","num_incong_corrFaces_reported_new","num_foilFaces_reported_new","num_foilFaces_reported_old","num_incong_errorFaces_reported_friendly","num_incong_errorFaces_reported_unfriendly","num_incong_corrFaces_reported_friendly","num_incong_corrFaces_reported_unfriendly","num_post_incong_errorFaces_reported_old","num_post_incong_errorFaces_reported_new","num_post_incong_correctFaces_reported_old","num_post_incong_correctFaces_reported_new","num_pre_incong_errorFaces_reported_old","num_pre_incong_errorFaces_reported_new","num_pre_incong_correctFaces_reported_old","num_pre_incong_correctFaces_reported_new","num_post_incong_errorFaces_reported_friendly","num_post_incong_errorFaces_reported_unfriendly","num_post_incong_correctFaces_reported_friendly","num_post_incong_correctFaces_reported_unfriendly","num_pre_incong_errorFaces_reported_friendly","num_pre_incong_errorFaces_reported_unfriendly","num_pre_incong_correctFaces_reported_friendly","num_pre_incong_correctFaces_reported_unfriendly","errorFaces_hit","correctFaces_hit","falseAlarm_for_both","d_prime_error","d_prime_correct"
"75","1","0.9125","0.350048412615433","0.45072198627287","0.299558274842746","0.370784879194729","-0.0875","0.100673573657437","0.071226604351983","7","7","0","3","4","14","59","73","7","5","2","45","28","2","5","16","54","2","5","17","55","4","3","40","30","3","4","42","30","0.428571428571429","0.191780821917808","0.0875","1.17629937554254","0.484959118749008"
"76","0.9375","0.7875","0.430304183314244","0.486178608168466","0.357049764258799","0.396104987685392","-0.15","0.0558744248542222","0.0390552234265933","15","22","0.318181818181818","7","10","28","33","47","33","9","8","45","16","10","6","35","28","6","11","35","27","11","5","44","19","14","3","47","15","0.411764705882353","0.459016393442623","0.4125","-0.00188911794279625","0.118206679276126"
"77","1","0.95","0.491938241291791","0.597962965331972","0.399216178639077","0.466975387666837","-0.05","0.10602472404018","0.0677592090277595","7","4","-0.75","1","3","54","21","41","39","2","2","42","33","3","1","50","25","2","2","53","20","3","1","34","41","2","2","36","37","0.25","0.72","0.4875","-0.643151768174655","0.614179489292643"
"76","0.975","0.9","0.493356015354108","0.537163836195961","0.399566172830426","0.428720805108053","-0.075","0.0438078208418531","0.0291546322776268","Missing","10","Missing","4","4","34","38","66","14","7","1","50","22","5","3","31","38","3","4","28","43","6","2","47","22","3","4","52","19","0.5","0.472222222222222","0.175","0.93458929107348","0.864904370755025"
"79","1","0.9125","0.601114882458933","0.667701758896275","0.466776020270991","0.506853381756991","-0.0875","0.0665868764373418","0.0400773614860002","12","7","-0.714285714285714","5","2","32","36","50","30","2","5","25","43","2","5","30","40","4","3","27","44","4","3","28","42","3","4","22","49","0.714285714285714","0.470588235294118","0.375","0.884588185897238","0.244848090156102"
"80","0.9625","0.7375","0.445496683008969","0.522723079627474","0.368015237708056","0.420292143802502","-0.225","0.0772263966185056","0.0522769060944455","10","24","0.583333333333333","9","12","29","30","67","13","16","5","32","27","12","9","29","28","8","13","28","27","7","14","36","21","12","9","35","20","0.428571428571429","0.491525423728814","0.1625","0.80422259065362","0.962990750080606"
"81","0.9875","0.7125","0.423747325233549","0.482755654360772","0.352774875091539","0.393687756151571","-0.275","0.059008329127223","0.0409128810600317","6","24","0.75","5","18","17","40","70","10","17","6","37","20","5","18","19","37","3","20","14","41","14","9","39","17","16","7","36","19","0.217391304347826","0.298245614035088","0.125","0.369315568853299","0.620896362831219"
"82","1","0.9375","0.474846305113427","0.549332618990259","0.387906701037579","0.436692584411265","-0.0625","0.0744863138768313","0.0487858833736864","15","5","-2","1","4","33","41","59","21","3","2","37","37","4","1","32","41","2","3","32","41","2","3","33","40","4","1","30","43","0.2","0.445945945945946","0.2625","-0.205964219875332","0.499746333051102"
"83","1","0.9375","0.515945918490424","0.577643623969085","0.413991125996389","0.455418797494121","-0.0625","0.0616977054786608","0.0414276714977321","20","5","-3","2","3","19","52","72","8","1","4","11","60","1","4","18","56","2","3","20","53","2","3","15","59","2","3","12","61","0.4","0.267605633802817","0.1","1.0282044624088","0.661480905432154"
"84","0.9625","0.6125","0.481171076284035","0.557079883634436","0.390227628700893","0.441654344545567","-0.35","0.0759088073504006","0.0514267158446737","35","34","-0.0294117647058824","11","20","27","22","59","21","20","11","25","24","14","17","27","18","7","24","25","22","18","13","25","20","15","16","25","22","0.354838709677419","0.551020408163265","0.2625","0.263367653232392","0.763896839677895"
