middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LF-204-133-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IM-727-195-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-WM-003-002-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BF-225-192-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IF-742-103-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LF-216-121-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-WM-250-157-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BM-002-013-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IF-744-114-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AM-248-104-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IM-621-136-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-218-157-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BM-001-014-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-246-242-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MM-322-002-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-WM-035-032-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LM-248-089-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AM-229-224-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BF-033-028-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BF-001-025-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MF-300-002-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MF-332-014-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MF-330-001-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-219-106-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BM-039-029-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-223-183-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-244-168-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BM-250-170-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MF-321-003-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-WM-223-056-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IM-683-231-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IM-645-001-N.jpg,"[.035, .035]"
