middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL
img/renders/face690_45.png,img/renders/face690_-45.png,img/renders/face690_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face274_-45.png,img/renders/face274_45.png,img/renders/face274_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face862_45.png,img/renders/face862_-45.png,img/renders/face862_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face165_-45.png,img/renders/face165_-45.png,img/renders/face165_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face357_-45.png,img/renders/face357_-45.png,img/renders/face357_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face615_-45.png,img/renders/face615_-45.png,img/renders/face615_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face846_45.png,img/renders/face846_-45.png,img/renders/face846_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face124_45.png,img/renders/face124_45.png,img/renders/face124_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face772_45.png,img/renders/face772_45.png,img/renders/face772_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face610_45.png,img/renders/face610_45.png,img/renders/face610_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face091_-45.png,img/renders/face091_-45.png,img/renders/face091_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face288_45.png,img/renders/face288_-45.png,img/renders/face288_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face341_45.png,img/renders/face341_-45.png,img/renders/face341_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face697_-45.png,img/renders/face697_45.png,img/renders/face697_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face494_45.png,img/renders/face494_45.png,img/renders/face494_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face647_-45.png,img/renders/face647_45.png,img/renders/face647_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face244_45.png,img/renders/face244_45.png,img/renders/face244_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face161_-45.png,img/renders/face161_-45.png,img/renders/face161_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face371_-45.png,img/renders/face371_45.png,img/renders/face371_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face403_-45.png,img/renders/face403_45.png,img/renders/face403_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
