whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,straightFace,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face800_-45.png,img/renders/face800_45.png,img/renders/face800_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,0,0,12,,,,,,,,,,27.082792057000916,None,27.082792057000916,None,8,0.5797509789990727,27.082792057000916,None,27.724510406002082,None,1.5851703406813626,29.769806381002127,29.978222470002947,['1'],[0.7151315039991459],29.769806381002127,None,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face269_45.png,img/renders/face269_-45.png,img/renders/face269_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,1.8306613226452906,31.380902483000682,31.593704476999847,['8'],[0.35370288400008576],31.380902483000682,31.380902483000682,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,1.6793587174348696,33.24477964400285,33.46057273000042,['1'],[0.41080099399914616],33.24477964400285,33.24477964400285,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,1.8336673346693388,34.94342757800041,35.142713249002554,['8'],[0.407165315002203],34.94342757800041,34.94342757800041,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face418_45.png,img/renders/face418_-45.png,img/renders/face418_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,4,4,19,,,,,,,,,,,,,,,,,,,,1.7695390781563125,36.79939180099973,37.00963763800246,['8'],[0.47132626899838215],36.79939180099973,36.79939180099973,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,1.5741482965931863,38.593681201000436,38.80856316500285,['1'],[0.40384266099863453],38.593681201000436,38.593681201000436,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face482_45.png,img/renders/face482_45.png,img/renders/face482_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,6,6,15,,,,,,,,,,,,,,,,,,,,1.5811623246492987,40.19555068400223,40.40815081300025,['8'],[0.36304450100215035],40.19555068400223,40.19555068400223,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face395_-45.png,img/renders/face395_-45.png,img/renders/face395_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,1.5841683366733466,41.806999377000466,42.00759702600044,['1'],[0.37872429599883617],41.806999377000466,41.806999377000466,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face037_-45.png,img/renders/face037_45.png,img/renders/face037_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,1.9579158316633265,43.407713947002776,43.607215981999616,['1'],[0.5618257979986083],43.407713947002776,43.407713947002776,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face351_45.png,img/renders/face351_-45.png,img/renders/face351_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",0,0,0,0,0,9,9,10,,,,,,,,,,,,,,,,,,,,1.7695390781563125,45.391885286000615,45.606885735000105,['8'],[0.438666062997072],45.391885286000615,45.391885286000615,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
