whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,first_task_stim_keyResp.rt,blockFeedCat,fTfeed_text1_1.started,fTfeed_text1_1.stopped,fTfeed_key_1.keys,fTfeed_key_1.rt,fTfeed_key_1.started,fTfeed_key_1.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,0,0,2,,,,,,,,,22.451214207001613,None,22.451214207001613,None,8,0.645074587999261,22.451214207001613,None,23.146214740001597,None,1.7414829659318636,25.199967093998566,25.4008063149995,['1'],[0.5740516309997474],25.199967093998566,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,1.7605210420841684,26.986664168998686,27.185297660002107,['1'],[0.41959875600150554],26.986664168998686,26.986664168998686,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face037_-45.png,img/renders/face037_45.png,img/renders/face037_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,1.540080160320641,28.78772187999857,29.002447883001878,['1'],[0.3963461970015487],28.78772187999857,28.78772187999857,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,1.6312625250501,30.360141707002185,30.568714408000233,['8'],[0.4249724770015746],30.360141707002185,30.360141707002185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face395_-45.png,img/renders/face395_-45.png,img/renders/face395_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,1.9779559118236474,32.02677731999938,32.23479379299897,['1'],[0.37237748700135853],32.02677731999938,32.02677731999938,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,1.5561122244488979,34.04475830999945,34.25117414200213,['1'],[0.44653353099784],34.04475830999945,34.04475830999945,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face013_-45.png,img/renders/face013_-45.png,img/renders/face013_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,6,6,18,,,,,,,,,,,,,,,,,,,1.8947895791583167,35.633243583000876,35.834058211999945,['1'],[0.5432296130020404],35.633243583000876,35.633243583000876,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face418_45.png,img/renders/face418_-45.png,img/renders/face418_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,7,7,19,,,,,,,,,,,,,,,,,,,1.7925851703406812,37.54826694300209,37.7500777109999,['8'],[0.3922405670018634],37.54826694300209,37.54826694300209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face800_-45.png,img/renders/face800_45.png,img/renders/face800_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,8,8,12,,,,,,,,,,,,,,,,,,,1.81062124248497,39.38333286299894,39.583015448999504,['1'],[0.4458396320005704],39.38333286299894,39.38333286299894,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face040_45.png,img/renders/face040_-45.png,img/renders/face040_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,1.9188376753507013,41.23106968900174,41.43214483400152,['8'],[0.5340697789979458],41.23106968900174,41.23106968900174,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
