whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,0,0,4,,,,,,,,,19.872547149003367,None,19.872547149003367,None,8,0.7283216639989405,19.872547149003367,None,20.648972151000635,None,1.9078156312625252,22.69988319699769,22.906270965002477,['8'],[0.5877251929996419],22.69988319699769,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,1.8246492985971943,24.656272710999474,24.85589582600369,['1'],[0.32648606799921254],24.656272710999474,24.656272710999474,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face120_-45.png,img/renders/face120_-45.png,img/renders/face120_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,2,2,16,,,,,,,,,,,,,,,,,,,1.5641282565130261,26.51648841900169,26.721885421997285,['1'],[0.5061523440017481],26.51648841900169,26.51648841900169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face351_45.png,img/renders/face351_-45.png,img/renders/face351_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,1.7585170340681362,28.119079158001114,28.320706185004383,['8'],[0.46765706699807197],28.119079158001114,28.119079158001114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face269_45.png,img/renders/face269_-45.png,img/renders/face269_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,1.8797595190380763,29.916698303000885,30.119844704997377,['1'],[0.3562346489998163],29.916698303000885,29.916698303000885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face037_-45.png,img/renders/face037_45.png,img/renders/face037_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,1.9418837675350702,31.834496235002007,32.036501287002466,['1'],[0.4862724300037371],31.834496235002007,31.834496235002007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face482_45.png,img/renders/face482_45.png,img/renders/face482_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,6,6,15,,,,,,,,,,,,,,,,,,,1.8947895791583167,33.81856514699757,34.01999053000327,['8'],[0.3922516730017378],33.81856514699757,33.81856514699757,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face040_45.png,img/renders/face040_-45.png,img/renders/face040_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,1.9468937875751504,35.75202934299887,35.95265327900415,['8'],[0.5026753839993034],35.75202934299887,35.75202934299887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face581_45.png,img/renders/face581_45.png,img/renders/face581_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,1.9258517034068137,37.73319778500445,37.935635599002126,['8'],[0.5015349840032286],37.73319778500445,37.73319778500445,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,1.9779559118236474,39.69920647400431,39.90209876700101,['1'],[0.4095448709995253],39.69920647400431,39.69920647400431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,10,10,17,,,,,,,,,,,,,,,,,,,1.5611222444889779,41.716516467000474,41.91786314199999,['8'],[0.37634245599474525],41.716516467000474,41.716516467000474,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face559_-45.png,img/renders/face559_45.png,img/renders/face559_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,11,11,14,,,,,,,,,,,,,,,,,,,1.6132264529058116,43.316757473003236,43.51738715999818,['1'],[0.43294407600478735],43.316757473003236,43.316757473003236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face634_-45.png,img/renders/face634_-45.png,img/renders/face634_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,1.8967935871743486,44.965011008003785,45.167035416001454,['1'],[0.5581610580047709],44.965011008003785,44.965011008003785,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,1.617234468937876,46.90294045000337,47.116066963004414,['1'],[0.43488789499679115],46.90294045000337,46.90294045000337,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face418_45.png,img/renders/face418_-45.png,img/renders/face418_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,14,14,19,,,,,,,,,,,,,,,,,,,1.532064128256513,48.565334719998646,48.7659460290015,['8'],[0.5885001360002207],48.565334719998646,48.565334719998646,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,15,15,9,,,,,,,,,,,,,,,,,,,1.7925851703406812,50.12415322200104,50.329794805002166,['8'],[0.4217430290009361],50.12415322200104,50.12415322200104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face994_45.png,img/renders/face994_45.png,img/renders/face994_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,16,16,13,,,,,,,,,,,,,,,,,,,1.5120240480961924,51.94031838900264,52.14835704200232,['8'],[0.34347503000026336],51.94031838900264,51.94031838900264,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face013_-45.png,img/renders/face013_-45.png,img/renders/face013_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,17,17,18,,,,,,,,,,,,,,,,,,,1.8046092184368738,53.48619785500341,53.69869848000235,['1'],[0.48484531200665515],53.48619785500341,53.48619785500341,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face395_-45.png,img/renders/face395_-45.png,img/renders/face395_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,18,18,5,,,,,,,,,,,,,,,,,,,1.7094188376753507,55.32862409399968,55.5308493909979,['1'],[0.558492689000559],55.32862409399968,55.32862409399968,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,img/renders/face800_-45.png,img/renders/face800_45.png,img/renders/face800_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,19,19,12,,,,,,,,,,,,,,,,,,,1.9178356713426854,57.07308099199872,57.28064302400162,['1'],[0.3866881980065955],57.07308099199872,57.07308099199872,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
trialTable_practice.csv,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0024587279986,None,59.0024587279986,None,8,0.9744615050003631,59.0024587279986,None,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.787896711997746,60.010876911001105,None,,,,,,,,,,,,,,,,,,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
alt_trialTable_4.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face088_0.png,,,,,,,,,0,0,0,3,0,0,0,27,,,,,,,,,62.46055984499981,None,1.9949899799599198,,,,,,,1,,,,,,,,,,,,,61.83828553700005,None,8,0.5977474180035642,61.83828553700005,None,65.76090327500424,None,65.76090327500424,65.96137156199984,65.76090327500424,65.96137156199984,65.76090327500424,None,None,65.76090327500424,None,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
alt_trialTable_4.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face242_0.png,,,,,,,,,0,0,0,3,0,1,1,0,,,,,,,,,,,1.6062124248496994,,,,,,,1,,,,,,,,,,,,,,,,,,,67.80323080500239,67.80323080500239,67.80323080500239,68.01091569200071,67.80323080500239,68.01091569200071,67.80323080500239,67.80323080500239,None,67.80323080500239,67.80323080500239,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
alt_trialTable_4.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face394_0.png,,,,,,,,,0,0,0,3,0,2,2,1,,,,,,,,,,,1.5631262525050098,,,,,,,1,,,,,,,,,,,,,,,,,,,69.46531458700338,69.46531458700338,69.46531458700338,69.67737193100038,69.46531458700338,69.67737193100038,69.46531458700338,69.46531458700338,None,69.46531458700338,69.46531458700338,12,2022_May_10_1552,flanker-basic_v2,2021.2.3,60.436889328434596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9468937875751504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
