whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,first_task_stim_keyResp.rt,blockFeedCat,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face581_45.png,img/renders/face581_45.png,img/renders/face581_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,0,0,8,,,,,,,,,23.201156103001267,None,23.201156103001267,None,8,2.1790925710010924,23.201156103001267,None,25.442348153999774,None,1.9529058116232463,27.488271133996022,27.694853116001468,['8'],[0.4930769290003809],27.488271133996022,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,,,1.9488977955911824,29.463109710995923,29.67770987199765,['8'],[0.4692129750037566],29.463109710995923,29.463109710995923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face013_-45.png,img/renders/face013_-45.png,img/renders/face013_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,2,2,18,,,,,,,,,,,,,,,,,,,1.7975951903807617,31.446650134996162,31.66078397900128,['1'],[0.3929051939994679],31.446650134996162,31.446650134996162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face351_45.png,img/renders/face351_-45.png,img/renders/face351_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,1.9318637274549098,33.26438367200171,33.476486872998066,['8'],[0.37092352699983167],33.26438367200171,33.26438367200171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face037_-45.png,img/renders/face037_45.png,img/renders/face037_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,1.5190380761523048,35.2297505289971,35.4429175059995,['1'],[0.47056831199734006],35.2297505289971,35.2297505289971,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face040_45.png,img/renders/face040_-45.png,img/renders/face040_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,1.939879759519038,36.77757159299654,36.99252261299989,['8'],[0.5258230330000515],36.77757159299654,36.77757159299654,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face120_-45.png,img/renders/face120_-45.png,img/renders/face120_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,6,6,16,,,,,,,,,,,,,,,,,,,1.8346693386773547,38.74345861299662,38.95897225000226,['1'],[0.38188879700464895],38.74345861299662,38.74345861299662,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face418_45.png,img/renders/face418_-45.png,img/renders/face418_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,7,7,19,,,,,,,,,,,,,,,,,,,1.9208416833667334,40.61155467000208,40.82504187199811,['8'],[0.41668571600166615],40.61155467000208,40.61155467000208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,1.7625250501002003,42.55942636899999,42.77462167899648,['1'],[0.3829054269954213],42.55942636899999,42.55942636899999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face395_-45.png,img/renders/face395_-45.png,img/renders/face395_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,1.75250501002004,44.33867923499929,44.54046458499943,['8'],[0.3395789389978745],44.33867923499929,44.33867923499929,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
