whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,0,0,9,,,,,,,,,26.165421805999358,None,26.165421805999358,None,8,0.7009095200046431,26.165421805999358,None,26.9239307109965,None,1.8887775551102204,28.987252086997614,29.19812897600059,None,28.987252086997614,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face037_-45.png,img/renders/face037_45.png,img/renders/face037_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,1.6362725450901803,30.915027287999692,31.128970404999563,['1'],30.915027287999692,30.915027287999692,1,[0.4433661969960667],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face418_45.png,img/renders/face418_-45.png,img/renders/face418_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,2,2,19,,,,,,,,,,,,,,,,,,,1.7294589178356714,32.59799382100027,32.81373679999524,['8'],32.59799382100027,32.59799382100027,1,[0.39970870199613273],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face994_45.png,img/renders/face994_45.png,img/renders/face994_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,1.5781563126252505,34.36029721600062,34.563519792995066,['8'],34.36029721600062,34.36029721600062,1,[0.3704507099973853],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,1.9468937875751504,35.97488004699699,36.179754671997216,['1'],35.97488004699699,35.97488004699699,1,[0.41501758900267305],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,1.9328657314629258,37.959169535999536,38.16236481699889,['1'],37.959169535999536,37.959169535999536,1,[0.4118838579961448],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,1.5240480961923848,39.92082563800068,40.12664387499535,['8'],39.92082563800068,39.92082563800068,1,[0.3880323409975972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,7,7,17,,,,,,,,,,,,,,,,,,,1.5781563126252505,41.47650715000054,41.677973985999415,"['1', '8']",41.47650715000054,41.47650715000054,0,"[0.45824545199866407, 0.626582528995641]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face559_-45.png,img/renders/face559_45.png,img/renders/face559_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,8,8,14,,,,,,,,,,,,,,,,,,,1.9689378757515028,43.09210175599583,43.294309175995295,['1'],43.09210175599583,43.09210175599583,1,[0.4948059550006292],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,1.622244488977956,45.10433955500048,45.30848092799715,['1'],45.10433955500048,45.10433955500048,1,[0.43456093299755594],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1921,flanker-basic_v2,2021.2.3,59.21478728876914,
