whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,0,0,17,,,,,,,,,29.041997200998594,None,29.041997200998594,None,8,0.48659259799751453,29.041997200998594,None,29.59681226200337,None,1.7895791583166334,31.644130115004373,31.843259335000766,['8'],[0.5675246950049768],31.644130115004373,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face634_-45.png,img/renders/face634_-45.png,img/renders/face634_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,1.8527054108216432,33.46366388000024,33.67664620600408,['1'],[0.32186197400005767],33.46366388000024,33.46366388000024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face269_45.png,img/renders/face269_-45.png,img/renders/face269_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,1.7334669338677353,35.35088723600347,35.55992565500492,['8'],[0.31778801300242776],35.35088723600347,35.35088723600347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face994_45.png,img/renders/face994_45.png,img/renders/face994_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,1.622244488977956,37.11102018800011,37.32660985599796,['8'],[0.3906017059998703],37.11102018800011,37.11102018800011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face482_45.png,img/renders/face482_45.png,img/renders/face482_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,4,4,15,,,,,,,,,,,,,,,,,,,1.7645290581162323,38.7617429880047,38.97598546399968,['8'],[0.30885673600278096],38.7617429880047,38.7617429880047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face040_45.png,img/renders/face040_-45.png,img/renders/face040_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,1.8567134268537075,40.545895422998,40.7589527520031,"['1', '8']","[0.30764021199865965, 0.4598664459990687]",40.545895422998,40.545895422998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face418_45.png,img/renders/face418_-45.png,img/renders/face418_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,6,6,19,,,,,,,,,,,,,,,,,,,1.9068136272545089,42.43023739500495,42.64324174600188,['8'],[0.359414171995013],42.43023739500495,42.43023739500495,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face351_45.png,img/renders/face351_-45.png,img/renders/face351_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,1.7775551102204408,44.365207975002704,44.57683517700207,['8'],[0.3454477350023808],44.365207975002704,44.365207975002704,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face013_-45.png,img/renders/face013_-45.png,img/renders/face013_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,8,8,18,,,,,,,,,,,,,,,,,,,1.7655310621242484,46.16307066700392,46.375692867004545,['1'],[0.4296827040016069],46.16307066700392,46.16307066700392,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,1.628256513026052,47.968338541002595,48.176691679000214,['1'],[0.43421291400591144],47.968338541002595,47.968338541002595,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
