middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.rt,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,id,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,0,0,0,0,0,0,0,2,,,,,,,,,35.83653770000092,None,8,3.245455199998105,35.83653770000092,None,39.10330380000232,None,1.6492985971943888,41.151358099999925,41.355470099999366,41.151358099999925,41.355470099999366,41.151358099999925,41.355470099999366,41.151358099999925,41.355470099999366,41.151358099999925,41.355470099999366,41.151358099999925,None,['8'],[0.5196624000018346],41.151358099999925,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,1.7755511022044088,42.84369400000287,43.045904400001746,42.84369400000287,43.045904400001746,42.84369400000287,43.045904400001746,42.84369400000287,43.045904400001746,42.84369400000287,43.045904400001746,42.84369400000287,42.84369400000287,['8'],[0.5663399000004574],42.84369400000287,42.84369400000287,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,1.87374749498998,44.658733200001734,44.86233429999993,44.658733200001734,44.86233429999993,44.658733200001734,44.86233429999993,44.658733200001734,44.86233429999993,44.658733200001734,44.86233429999993,44.658733200001734,44.658733200001734,['1'],[0.4945893000003707],44.658733200001734,44.658733200001734,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,1.5681362725450902,46.578698900000745,46.7784152000022,46.578698900000745,46.7784152000022,46.578698900000745,46.7784152000022,46.578698900000745,46.7784152000022,46.578698900000745,46.7784152000022,46.578698900000745,46.578698900000745,['1'],[0.3776216999976896],46.578698900000745,46.578698900000745,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.156466100001126,None,8,2.7635003000032157,48.156466100001126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.92895090000093,None,8,6.846176300001389,50.92895090000093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,64.50278679999974,None,1.7414829659318636,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,57.79439000000275,None,8,6.693006100002094,57.79439000000275,None,66.55652259999988,66.76118730000235,66.55652259999988,66.76118730000235,66.55652259999988,66.76118730000235,66.55652259999988,66.76118730000235,66.55652259999988,66.76118730000235,66.55652259999988,None,['8'],[0.48534899999867775],66.55652259999988,None,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,1.6312625250501,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,68.34402659999978,68.54823720000059,68.34402659999978,68.54823720000059,68.34402659999978,68.54823720000059,68.34402659999978,68.54823720000059,68.34402659999978,68.54823720000059,68.34402659999978,68.34402659999978,['8'],[0.5658552999993844],68.34402659999978,68.34402659999978,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,1.9539078156312626,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,70.01969550000285,70.22400410000046,70.01969550000285,70.22400410000046,70.01969550000285,70.22400410000046,70.01969550000285,70.22400410000046,70.01969550000285,70.22400410000046,70.01969550000285,70.01969550000285,['1'],[0.4815220999989833],70.01969550000285,70.01969550000285,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,1.8286573146292584,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,72.01813690000199,72.22200190000149,72.01813690000199,72.22200190000149,72.01813690000199,72.22200190000149,72.01813690000199,72.22200190000149,72.01813690000199,72.22200190000149,72.01813690000199,72.01813690000199,['1'],[0.4519118000025628],72.01813690000199,72.01813690000199,,,,,,,,999,2022_Mar_30_0143,flanker-basic_v2,2021.2.3,240.3320427465569,
