whichSurpriseBlock,taskTextSource,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fix.started,errorNumbers_text_2.started,textbox_2.started,errorN_key_resp_2.started,textbox_2.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_3.started,botherRate_key_resp.started,textbox_3.text,botherRate_key_resp.keys,botherRate_key_resp.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_keyResp.started,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,firstStim_sliderA.response,firstStim_sliderA.rt,firstStim_sliderA_3.response,firstStim_sliderA_3.rt,surprise_key_resp_5.keys,firstStim_sliderA_2.response,firstStim_sliderA_2.rt,surprise_key_resp_7.keys,firstStim_sliderA_4.response,firstStim_sliderA_4.rt,surprise_key_resp.keys,firstStim_sliderB1.response,firstStim_sliderB1.rt,surprise_key_resp_9.keys,secondStim_sliderB1.response,secondStim_sliderB1.rt,surprise_key_resp_8.keys,firstStim_sliderB2.response,firstStim_sliderB2.rt,surprise_key_resp_10.keys,secondStim_sliderB2.response,secondStim_sliderB2.rt,first_surpStimuliC1.started,fStimC1.started,surprise_key_resp_3.started,firstStim_sliderC.started,surprise_key_resp_3.keys,surprise_key_resp_3.rt,firstStim_sliderC.response,firstStim_sliderC.rt,second_surpStimuliC1.started,sStimC1.started,surprise_key_resp_11.started,secondStim_sliderC1.started,surprise_key_resp_11.keys,secondStim_sliderC1.response,secondStim_sliderC1.rt,surprise_key_resp_12.keys,firstStim_sliderC2.response,firstStim_sliderC2.rt,surprise_key_resp_13.keys,secondStim_sliderC2.response,secondStim_sliderC2.rt,surprise_key_resp_4.keys,firstStim_sliderD1.response,firstStim_sliderD1.rt,surprise_key_resp_14.keys,secondStim_sliderD1.response,secondStim_sliderD1.rt,surprise_key_resp_15.keys,firstStim_sliderD2.response,firstStim_sliderD2.rt,surprise_key_resp_16.keys,secondStim_sliderD2.response,secondStim_sliderD2.rt,fix_2.started,fix_2.stopped,id,cb,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,25.593726750987116,26.09923902299488,26.09923902299488,26.09923902299488,,space,0.49639900802867487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.63059902295936,26.63059902295936,26.63059902295936,,space,0.29485452600056306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.946246015955694,8,0.5607257459778339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row41.csv,img/neutralC/CFD-LF-220-120-N.jpg,1,,,,,,,,,0,0,0,0,0,0,0,227,0,0,0,0,,,,,,,,,,,,,,,,,27.591118165990338,27.591118165990338,8,0.5659340809797868,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.40712635597447,29.40712635597447,29.40712635597447,29.40712635597447,8,2.632841320009902,None,None,32.267439602001105,32.267439602001105,32.267439602001105,32.267439602001105,None,3.0,4.104870721988846,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.99177253700327,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row41.csv,,,,,,,,,,,0,0,0,0,0,0,0,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row38.csv,img/neutralC/CFD-BM-009-002-N.jpg,1,,,,,,,,,0,0,0,0,0,1,1,76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.84726790199056,38.84726790199056,38.84726790199056,38.84726790199056,None,,2.0,4.214511323021725,43.18516757298494,43.18516757298494,43.18516757298494,43.18516757298494,None,2.0,1.9624166659777984,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.715970496996306,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row38.csv,,,,,,,,,,,0,0,0,0,0,1,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row169.csv,img/neutralC/CFD-IF-612-149-N.jpg,0,,,,,,,,,0,0,0,0,0,2,2,94,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47.641853098000865,47.641853098000865,47.641853098000865,47.641853098000865,None,,3.0,1.3752101329737343,49.13283144298475,49.13283144298475,49.13283144298475,49.13283144298475,None,4.0,2.2132383739808574,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.967756091966294,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row169.csv,,,,,,,,,,,0,0,0,0,0,2,2,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row450.csv,img/neutralC/CFD-BF-243-164-N.jpg,0,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.400535786990076,54.400535786990076,54.400535786990076,54.400535786990076,None,,2.0,2.2535949750454165,56.77765383396763,56.77765383396763,56.77765383396763,56.77765383396763,None,5.0,2.0182036320329644,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,59.45484280696837,61.40933535300428,,C,2022-08-13_20h01.08.605,mfe_flanker_v1,2022.2.2,59.53928689628769,
