whichSurpriseBlock,taskTextSource,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fix.started,errorNumbers_text_2.started,textbox_2.started,errorN_key_resp_2.started,textbox_2.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_3.started,botherRate_key_resp.started,textbox_3.text,botherRate_key_resp.keys,botherRate_key_resp.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_keyResp.started,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,firstStim_sliderA1.response,firstStim_sliderA1.rt,first_mouseA1.x,first_mouseA1.y,first_mouseA1.leftButton,first_mouseA1.midButton,first_mouseA1.rightButton,first_mouseA1.time,secondStim_sliderA1.response,secondStim_sliderA1.rt,sec_mouseA1.x,sec_mouseA1.y,sec_mouseA1.leftButton,sec_mouseA1.midButton,sec_mouseA1.rightButton,sec_mouseA1.time,firstStim_sliderA2.response,firstStim_sliderA2.rt,first_mouseA2.x,first_mouseA2.y,first_mouseA2.leftButton,first_mouseA2.midButton,first_mouseA2.rightButton,first_mouseA2.time,secondStim_sliderA2.response,secondStim_sliderA2.rt,sec_mouseA2.x,sec_mouseA2.y,sec_mouseA2.leftButton,sec_mouseA2.midButton,sec_mouseA2.rightButton,sec_mouseA2.time,firstStim_sliderB1.response,firstStim_sliderB1.rt,first_mouseB1.x,first_mouseB1.y,first_mouseB1.leftButton,first_mouseB1.midButton,first_mouseB1.rightButton,first_mouseB1.time,secondStim_sliderB1.response,secondStim_sliderB1.rt,sec_mouseB1.x,sec_mouseB1.y,sec_mouseB1.leftButton,sec_mouseB1.midButton,sec_mouseB1.rightButton,sec_mouseB1.time,firstStim_sliderB2.response,firstStim_sliderB2.rt,first_mouseB2.x,first_mouseB2.y,first_mouseB2.leftButton,first_mouseB2.midButton,first_mouseB2.rightButton,first_mouseB2.time,secondStim_sliderB2.response,secondStim_sliderB2.rt,sec_mouseB2.x,sec_mouseB2.y,sec_mouseB2.leftButton,sec_mouseB2.midButton,sec_mouseB2.rightButton,sec_mouseB2.time,firstStim_sliderC1.response,firstStim_sliderC1.rt,first_mouseC1.x,first_mouseC1.y,first_mouseC1.leftButton,first_mouseC1.midButton,first_mouseC1.rightButton,first_mouseC1.time,secondStim_sliderC1.response,secondStim_sliderC1.rt,sec_mouseC1.x,sec_mouseC1.y,sec_mouseC1.leftButton,sec_mouseC1.midButton,sec_mouseC1.rightButton,sec_mouseC1.time,firstStim_sliderC2.response,firstStim_sliderC2.rt,first_mouseC2.x,first_mouseC2.y,first_mouseC2.leftButton,first_mouseC2.midButton,first_mouseC2.rightButton,first_mouseC2.time,secondStim_sliderC2.response,secondStim_sliderC2.rt,sec_mouseC2.x,sec_mouseC2.y,sec_mouseC2.leftButton,sec_mouseC2.midButton,sec_mouseC2.rightButton,sec_mouseC2.time,first_surpStimuliD1.started,fStim_D1.started,firstStim_sliderD1.started,first_mouseD1.started,firstStim_sliderD1.response,firstStim_sliderD1.rt,first_mouseD1.x,first_mouseD1.y,first_mouseD1.leftButton,first_mouseD1.midButton,first_mouseD1.rightButton,first_mouseD1.time,second_surpStimuliD1.started,sStimD1.started,secondStim_sliderD1.started,sec_mouseD1.started,secondStim_sliderD1.response,secondStim_sliderD1.rt,sec_mouseD1.x,sec_mouseD1.y,sec_mouseD1.leftButton,sec_mouseD1.midButton,sec_mouseD1.rightButton,sec_mouseD1.time,firstStim_sliderD2.response,firstStim_sliderD2.rt,first_mouseD2.x,first_mouseD2.y,first_mouseD2.leftButton,first_mouseD2.midButton,first_mouseD2.rightButton,first_mouseD2.time,secondStim_sliderD2.response,secondStim_sliderD2.rt,sec_mouseD2.x,sec_mouseD2.y,sec_mouseD2.leftButton,sec_mouseD2.midButton,sec_mouseD2.rightButton,sec_mouseD2.time,fix_2.started,fix_2.stopped,id,cb,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,23.898181422962807,24.408568113984074,24.408568113984074,24.408568113984074,,space,0.5631112669943832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99162292398978,24.99162292398978,24.99162292398978, ,space,0.36650333902798593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.388294706994202,8,0.29468957002973184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row190.csv,img/neutralC/CFD-BF-048-002-N.jpg,0,,,,,,,,,0,0,0,0,0,0,0,110,0,0,0,0,,,,,,,,,,,,,,,,,25.764114199962933,25.764114199962933,8,2.624860719020944,None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],30.23881474195514,30.23881474195514,30.23881474195514,0.11079038900788873,3.0,3.1929269740357995,[-0.12777777777777777],[0.2922222222222222],[1],[0],[0],[3.043478269013576],33.49912727397168,33.49912727397168,33.49912727397168,0.11396551301004365,3.0,2.275270409998484,[-0.1322222222222222],[-0.3477777777777778],[1],[0],[0],[2.128354942018632],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],35.97096107300604,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row190.csv,,,,,,,,,,,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row284.csv,img/neutralC/CFD-IF-601-519-N.jpg,1,,,,,,,,,0,0,0,0,0,1,1,79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],38.36259900598088,38.36259900598088,38.36259900598088,0.10688369098352268,5.0,2.2145911570405588,[0.38666666666666666],[0.30444444444444446],[1],[0],[0],[2.0697365300147794],40.69563852000283,40.69563852000283,40.69563852000283,0.09972731798188761,2.0,2.6574919020058587,[-0.3877777777777778],[-0.35555555555555557],[1],[0],[0],[2.514408999006264],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],43.56876029196428,45.955304011004046,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row284.csv,,,,,,,,,,,0,0,0,0,0,1,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row81.csv,img/neutralC/CFD-WF-252-159-N.jpg,0,,,,,,,,,0,0,0,0,0,2,2,52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],45.955304011004046,45.955304011004046,45.955304011004046,0.10084443702362478,1.0,2.102250311989337,[-0.6455555555555555],[0.29333333333333333],[1],[0],[0],[1.9713511649752036],48.1709380709799,48.1709380709799,48.1709380709799,0.09997687902068719,5.0,2.326782568998169,[0.3844444444444444],[-0.3511111111111111],[1],[0],[0],[2.186050999967847],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],50.71545628696913,53.27248479198897,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row81.csv,,,,,,,,,,,0,0,0,0,0,2,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
half_surp_table2.csv,"In this round, press Left key when the face is OLD and the Right key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row70.csv,img/neutralC/CFD-IM-740-273-N.jpg,0,,,,,,,,,0,0,0,0,0,3,3,57,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],53.27248479198897,53.27248479198897,53.27248479198897,0.11659048200817779,6.0,2.638835179968737,[0.6511111111111111],[0.29777777777777775],[1],[0],[0],[2.5123189740115777],56.014032278966624,56.014032278966624,56.014032278966624,0.11039191903546453,2.0,2.0697724589845166,[-0.39555555555555555],[-0.35555555555555557],[1],[0],[0],[1.9153969869948924],None,None,[],[],[],[],[],[],None,None,[],[],[],[],[],[],58.32283674797509,60.8429187949514,,D,2022-08-14_00h09.11.793,mfe_flanker_v1,2022.2.2,59.78792624674948,
