middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face056_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face278_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face789_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face154_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face435_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face824_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face130_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face823_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face098_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face919_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face860_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face102_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face020_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face527_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face977_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face110_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face025_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face461_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face953_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face309_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face611_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face440_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face691_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face085_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face833_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face829_0.png,"[.02, .02]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face847_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face921_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face722_0.png,"[.02, .02]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[.03,0]","[-.03,0]",img/renders/face786_0.png,"[.02, .02]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face808_0.png,"[.02, .02]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[.03,0]","[-.03,0]",img/renders/face194_0.png,"[.02, .02]"
