middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL
img/renders/face779_45.png,img/renders/face779_45.png,img/renders/face779_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face661_45.png,img/renders/face661_-45.png,img/renders/face661_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face958_-45.png,img/renders/face958_45.png,img/renders/face958_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face914_-45.png,img/renders/face914_-45.png,img/renders/face914_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face361_-45.png,img/renders/face361_45.png,img/renders/face361_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face955_45.png,img/renders/face955_45.png,img/renders/face955_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face322_-45.png,img/renders/face322_-45.png,img/renders/face322_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face291_-45.png,img/renders/face291_45.png,img/renders/face291_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face712_45.png,img/renders/face712_-45.png,img/renders/face712_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face323_45.png,img/renders/face323_-45.png,img/renders/face323_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face052_45.png,img/renders/face052_45.png,img/renders/face052_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face924_45.png,img/renders/face924_-45.png,img/renders/face924_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face083_45.png,img/renders/face083_45.png,img/renders/face083_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face679_45.png,img/renders/face679_-45.png,img/renders/face679_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face557_45.png,img/renders/face557_45.png,img/renders/face557_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face833_-45.png,img/renders/face833_-45.png,img/renders/face833_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face597_-45.png,img/renders/face597_-45.png,img/renders/face597_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face785_45.png,img/renders/face785_-45.png,img/renders/face785_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face617_-45.png,img/renders/face617_45.png,img/renders/face617_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face175_-45.png,img/renders/face175_45.png,img/renders/face175_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face136_-45.png,img/renders/face136_45.png,img/renders/face136_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face004_-45.png,img/renders/face004_45.png,img/renders/face004_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face507_45.png,img/renders/face507_-45.png,img/renders/face507_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face748_-45.png,img/renders/face748_45.png,img/renders/face748_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face962_-45.png,img/renders/face962_-45.png,img/renders/face962_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face877_45.png,img/renders/face877_-45.png,img/renders/face877_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face300_-45.png,img/renders/face300_-45.png,img/renders/face300_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face843_45.png,img/renders/face843_45.png,img/renders/face843_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face203_-45.png,img/renders/face203_-45.png,img/renders/face203_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face976_45.png,img/renders/face976_45.png,img/renders/face976_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face653_-45.png,img/renders/face653_-45.png,img/renders/face653_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face048_45.png,img/renders/face048_45.png,img/renders/face048_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
