middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL
img/renders/face593_-45.png,img/renders/face593_45.png,img/renders/face593_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face766_45.png,img/renders/face766_45.png,img/renders/face766_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face926_-45.png,img/renders/face926_-45.png,img/renders/face926_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face482_-45.png,img/renders/face482_-45.png,img/renders/face482_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face430_-45.png,img/renders/face430_-45.png,img/renders/face430_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face281_45.png,img/renders/face281_45.png,img/renders/face281_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face707_-45.png,img/renders/face707_45.png,img/renders/face707_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face527_45.png,img/renders/face527_-45.png,img/renders/face527_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face363_45.png,img/renders/face363_45.png,img/renders/face363_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face677_-45.png,img/renders/face677_45.png,img/renders/face677_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face988_45.png,img/renders/face988_45.png,img/renders/face988_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face439_45.png,img/renders/face439_-45.png,img/renders/face439_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face511_45.png,img/renders/face511_-45.png,img/renders/face511_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face822_-45.png,img/renders/face822_-45.png,img/renders/face822_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face548_45.png,img/renders/face548_-45.png,img/renders/face548_-45.png,7,0,right,"[0.08,0]","[.18,0]","[-.18,0]"
img/renders/face777_-45.png,img/renders/face777_45.png,img/renders/face777_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face286_45.png,img/renders/face286_45.png,img/renders/face286_45.png,5,1,right,"[0,0]","[.18,0]","[-.18,0]"
img/renders/face755_-45.png,img/renders/face755_45.png,img/renders/face755_45.png,8,0,left,"[-0.08,0]","[.18,0]","[-.18,0]"
img/renders/face335_-45.png,img/renders/face335_-45.png,img/renders/face335_-45.png,6,1,left,"[0,0]","[.18,0]","[-.18,0]"
