middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL
img/renders/face122_45.png,img/renders/face122_45.png,img/renders/face122_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face589_-45.png,img/renders/face589_-45.png,img/renders/face589_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face262_-45.png,img/renders/face262_45.png,img/renders/face262_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face548_-45.png,img/renders/face548_45.png,img/renders/face548_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face392_-45.png,img/renders/face392_-45.png,img/renders/face392_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face840_-45.png,img/renders/face840_-45.png,img/renders/face840_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face906_-45.png,img/renders/face906_45.png,img/renders/face906_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face253_45.png,img/renders/face253_45.png,img/renders/face253_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face115_45.png,img/renders/face115_-45.png,img/renders/face115_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face152_-45.png,img/renders/face152_45.png,img/renders/face152_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face235_45.png,img/renders/face235_-45.png,img/renders/face235_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face366_45.png,img/renders/face366_-45.png,img/renders/face366_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face844_-45.png,img/renders/face844_45.png,img/renders/face844_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face314_45.png,img/renders/face314_-45.png,img/renders/face314_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face628_45.png,img/renders/face628_45.png,img/renders/face628_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face591_45.png,img/renders/face591_-45.png,img/renders/face591_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face044_45.png,img/renders/face044_45.png,img/renders/face044_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face913_45.png,img/renders/face913_-45.png,img/renders/face913_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face499_45.png,img/renders/face499_-45.png,img/renders/face499_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
img/renders/face478_-45.png,img/renders/face478_45.png,img/renders/face478_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face460_-45.png,img/renders/face460_-45.png,img/renders/face460_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face281_-45.png,img/renders/face281_-45.png,img/renders/face281_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face009_-45.png,img/renders/face009_-45.png,img/renders/face009_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face488_45.png,img/renders/face488_45.png,img/renders/face488_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face896_-45.png,img/renders/face896_-45.png,img/renders/face896_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face822_45.png,img/renders/face822_45.png,img/renders/face822_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face383_-45.png,img/renders/face383_45.png,img/renders/face383_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face230_-45.png,img/renders/face230_45.png,img/renders/face230_45.png,8,0,left,"[-0.058,0]","[.14,0]","[-.14,0]"
img/renders/face312_-45.png,img/renders/face312_-45.png,img/renders/face312_-45.png,6,1,left,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face341_45.png,img/renders/face341_45.png,img/renders/face341_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face109_45.png,img/renders/face109_45.png,img/renders/face109_45.png,5,1,right,"[0,0]","[.13,0]","[-.13,0]"
img/renders/face131_45.png,img/renders/face131_-45.png,img/renders/face131_-45.png,7,0,right,"[0.058,0]","[.14,0]","[-.14,0]"
