whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,firstTextA,firstLeft,firstRight,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_stim_keyResp.started,prac_centerImg.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigFace_2.started,cover_background.started,task_centerImg.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.stopped,cover_background.stopped,bigFace_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNum_text.started,textbox_errorNum.started,errorN_key_resp.started,textbox_errorNum.text,errorN_key_resp.keys,errorN_key_resp.rt,errorPercent_text.started,textbox_errorPercent.started,errorN_key_resp_2.started,textbox_errorPercent.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_botherRate.started,botherRate_key_resp.started,textbox_botherRate.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_5.started,prac_firstSlider_2.started,text_7.started,text_8.started,prac_firstSlider_2.response,prac_firstSlider_2.rt,instruct_surprise1_7.started,prac_firstSlider_3.started,text_9.started,text_10.started,prac_firstSlider_3.response,prac_firstSlider_3.rt,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,polygon2.started,first_surpStimuliA1.started,fStimA1.started,firstStim_sliderA1.started,first_mouseA1.started,text.started,text_2.started,firstStim_sliderA1.response,firstStim_sliderA1.rt,first_mouseA1.x,first_mouseA1.y,first_mouseA1.leftButton,first_mouseA1.midButton,first_mouseA1.rightButton,first_mouseA1.time,thisISI3,polygon.started,polygon.stopped,polygon2.stopped,ringBell_text_4.started,bellKey_4.started,id,cb,date,expName,psychopyVersion,frameRate,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-201-156-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,253.76018849998945,253.76018849998945,253.76018849998945,8,54.02732669998659,307.81761520000873,3.835671342685371,309.94346199999563,309.94346199999563,309.94346199999563,309.9518253999995,310.15197000000626,310.303158499999,313.9072606000118,313.9072606000118,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-635-010-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7404809619238475,313.9072606000118,313.9072606000118,313.9072606000118,313.9337798000197,314.1369391999906,314.26071449997835,317.7739969000104,317.7739969000104,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-203-229-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3.723446893787575,317.7739969000104,317.7739969000104,317.7739969000104,317.798676299979,317.9995006999816,318.12318649998633,321.62081779999426,321.62081779999426,['8'],1,[0.8989819000125863],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-225-101-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,3.882765531062124,321.62081779999426,321.62081779999426,321.62081779999426,321.6527473999886,321.8556863999693,321.97211229999084,325.6194136000122,325.6194136000122,['8'],1,[0.7127338999998756],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-736-361-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7775551102204408,325.6194136000122,325.6194136000122,325.6194136000122,325.6640804000199,325.8668613000191,325.9723480999819,329.51836799999,329.51836799999,['8'],1,[0.6380922999815084],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-228-188-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5140280561122244,329.51836799999,329.51836799999,329.51836799999,329.55061109998496,329.75082289997954,329.86887040000875,333.1618826999911,333.1618826999911,['1'],1,[0.47123050002846867],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-017-003-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.741482965931864,333.1618826999911,333.1618826999911,333.1618826999911,333.18805529997917,333.39097850001417,333.5111322000157,337.030797799991,337.030797799991,['1'],1,[0.5195193999679759],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-607-018-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,7,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8777555110220443,337.030797799991,337.030797799991,337.030797799991,337.06094210001174,337.2632566000102,337.3856315999874,341.0192558999988,341.0192558999988,['1'],1,[0.49797800002852455],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-029-024-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7274549098196395,341.0192558999988,341.0192558999988,341.0192558999988,341.0590873999754,341.2605439000181,341.37317400000757,344.86942689999705,344.86942689999705,['1'],1,[0.5313507000100799],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-237-154-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9498997995991987,344.86942689999705,344.86942689999705,344.86942689999705,344.9003588000196,345.1058747000061,345.2192961999681,348.93695629999274,348.93695629999274,['8'],1,[0.6821275999536738],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-205-155-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8196392785571143,348.93695629999274,348.93695629999274,348.93695629999274,348.97282169997925,349.1780484999763,349.2887842999771,352.8818944999948,352.8818944999948,['8'],1,[0.577640599978622],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-015-015-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.963927855711423,352.8818944999948,352.8818944999948,352.8818944999948,352.91319589997875,353.1159696999821,353.23449980001897,356.9757746999967,356.9757746999967,['1'],1,[0.524668300000485],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-007-001-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5761523046092183,356.9757746999967,356.9757746999967,356.9757746999967,356.99733729998115,357.198155399994,357.33144300000276,360.6948237000033,360.6948237000033,['1'],1,[0.5410341999959201],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-615-167-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5631262525050102,360.6948237000033,360.6948237000033,360.6948237000033,360.70761350000976,360.9075115000014,361.0442404000205,364.3845486000064,364.3845486000064,['8'],1,[0.6289097999688238],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-231-155-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,14,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.650300601202405,364.3845486000064,364.3845486000064,364.3845486000064,364.40664910001215,364.6083700999734,364.7379312000121,368.152032300015,368.152032300015,['8'],1,[0.43286679999437183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200007,A,2022-10-12_13h54.22.262,mfe_b,2022.2.4,240.60902961948977,
