whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,firstTextA,firstLeft,firstRight,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_stim_keyResp.started,prac_centerImg.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigFace_2.started,cover_background.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.started,task_centerImg.stopped,cover_background.stopped,bigFace_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNum_text.started,textbox_errorNum.started,errorN_key_resp.started,textbox_errorNum.text,errorN_key_resp.keys,errorN_key_resp.rt,errorPercent_text.started,textbox_errorPercent.started,errorN_key_resp_2.started,textbox_errorPercent.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_botherRate.started,botherRate_key_resp.started,textbox_botherRate.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_5.started,prac_firstSlider_2.started,text_7.started,text_8.started,prac_firstSlider_2.response,prac_firstSlider_2.rt,instruct_surprise1_7.started,prac_firstSlider_3.started,text_9.started,text_10.started,prac_firstSlider_3.response,prac_firstSlider_3.rt,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,polygon2.started,first_surpStimuliA1.started,fStimA1.started,firstStim_sliderA1.started,first_mouseA1.started,text.started,text_2.started,firstStim_sliderA1.response,firstStim_sliderA1.rt,first_mouseA1.x,first_mouseA1.y,first_mouseA1.leftButton,first_mouseA1.midButton,first_mouseA1.rightButton,first_mouseA1.time,thisISI3,polygon.started,polygon.stopped,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,id,cb,date,expName,psychopyVersion,frameRate,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-017-003-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,200.05081469984725,200.05081469984725,200.05081469984725,8,63.3232551002875,263.41483169980347,3.6162324649298596,265.5525924998801,265.5525924998801,265.5525924998801,265.56101519986987,265.76425069989637,265.9057252998464,269.30635849991813,269.30635849991813,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-203-229-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7625250501002,269.30635849991813,269.30635849991813,269.30635849991813,269.3188943997957,269.5193697998766,269.65914909983985,273.1935502998531,273.1935502998531,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-029-024-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5480961923847696,273.1935502998531,273.1935502998531,273.1935502998531,273.2235432998277,273.4271312998608,273.5518883999903,276.86362259997986,276.86362259997986,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-228-188-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.875751503006012,276.86362259997986,276.86362259997986,276.86362259997986,276.8944182000123,277.0969155000057,277.2209915998392,280.85671409987845,280.85671409987845,['1'],1,[0.9308945001102984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-218-157-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6282565130260522,280.85671409987845,280.85671409987845,280.85671409987845,280.89172779978253,281.09576139994897,281.2091767999809,284.61396489990875,284.61396489990875,['8'],1,[1.335298900026828],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-635-010-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,3.603206412825651,284.61396489990875,284.61396489990875,284.61396489990875,284.6410404997878,284.85064359987155,284.96401589992456,288.348457199987,288.348457199987,['1'],1,[0.6474750000052154],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-007-001-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8957915831663326,288.348457199987,288.348457199987,288.348457199987,288.3699963998515,288.57388429995626,288.7016772998031,292.3663470998872,292.3663470998872,['1'],1,[0.9273345000110567],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-237-154-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,3.650300601202405,292.3663470998872,292.3663470998872,292.3663470998872,292.39773490000516,292.60051609994844,292.7192609999329,296.14705619984306,296.14705619984306,['8'],1,[0.604837000137195],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-231-155-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7354709418837673,296.14705619984306,296.14705619984306,296.14705619984306,296.1739960999694,296.3767528999597,296.4973226999864,300.0112239997834,300.0112239997834,['8'],1,[0.5041783000342548],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-736-361-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.588176352705411,300.0112239997834,300.0112239997834,300.0112239997834,300.03712259978056,300.2386288999114,300.3644866999239,303.72813249984756,303.72813249984756,"['1', '8']",0,"[0.503967400174588, 1.0877865001093596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200015,A,2022-10-20_18h33.45.908,mfe_b,2022.2.4,241.05679339613627,
