"id","congAcc","incongAcc","congCorr_meanRT","incongCorr_meanRT","congCorr_logMeanRT","incongCorr_logMeanRT","flankEff_meanACC","flankEff_meanRT","flankEff_logMeanRT","reported_errors","committed_errors","memoryBias_score","num_incong_errors","num_foilFaces_reported_definitely_old","num_foilFaces_reported_probably_old","num_foilFaces_reported_maybe_old","num_foilFaces_reported_maybe_new","num_foilFaces_reported_probably_new","num_foilFaces_reported_definitely_new","num_incong_corrFaces_reported_definitely_new","num_incong_corrFaces_reported_definitely_old","num_incong_corrFaces_reported_probably_new","num_incong_corrFaces_reported_probably_old","num_incong_corrFaces_reported_maybe_new","num_incong_corrFaces_reported_maybe_old","num_incong_errorFaces_reported_definitely_new","num_incong_errorFaces_reported_definitely_old","num_incong_errorFaces_reported_probably_new","num_incong_errorFaces_reported_probably_old","num_incong_errorFaces_reported_maybe_new","num_incong_errorFaces_reported_maybe_old"
200001,0.973958333333333,0.682291666666667,0.33879535936098,0.386169125958708,0.291174977515784,0.325660371106851,-0.291666666666667,0.0473737665977279,0.0344853935910673,40,66,-0.65,61,16,41,18,17,86,14,6,31,51,25,8,10,2,10,28,10,3,8
200002,1,0.760416666666667,0.344083942708332,0.410212845890417,0.295316897452617,0.343095616250225,-0.239583333333333,0.0661289031820855,0.047778718797608,37,46,-0.243243243243243,46,9,47,46,36,36,18,9,26,23,39,14,35,4,2,12,11,5,12
200003,0.932291666666667,0.848958333333333,0.519455315853941,0.553143611724415,0.408912238356605,0.430763935137034,-0.0833333333333333,0.0336882958704732,0.0218516967804297,40,42,-0.05,24,7,21,49,28,34,53,20,21,19,27,16,42,4,1,6,8,2,3
200004,1,0.90625,0.408016814059314,0.472556276434742,0.341098100918606,0.386040174504183,-0.09375,0.0645394623754286,0.0449420735855764,7,18,-1.57142857142857,18,11,11,23,22,33,92,64,13,14,13,27,43,8,0,4,0,5,1
200005,0.963541666666667,0.807291666666667,0.365064920537879,0.422959412256211,0.310317710550706,0.351918601018727,-0.15625,0.0578944917183322,0.0416008904680208,10,44,-3.4,37,8,31,46,58,39,10,4,13,29,42,37,30,1,1,6,5,11,13
200006,0.989583333333333,0.765625,0.421960716838274,0.523430672783458,0.350671547422075,0.41952688128415,-0.223958333333333,0.101469955945184,0.0688553338620749,30,47,-0.566666666666667,45,15,30,28,51,48,20,2,25,27,37,32,24,1,4,11,6,14,9
200007,0.96875,0.911458333333333,0.464778444813717,0.504292373413575,0.374125269721345,0.400609560689952,-0.0572916666666666,0.0395139285998583,0.0264842909686067,15,23,-0.533333333333333,16,1,32,66,50,38,5,5,12,22,52,28,54,0,0,3,7,2,4
200008,0.989583333333333,0.958333333333333,0.502886282629946,0.598855728806128,0.404601486432477,0.462773141465208,-0.03125,0.0959694461761819,0.0581716550327308,10,10,0,8,8,13,23,44,47,57,36,13,44,24,36,31,1,0,3,2,2,0
200011,0.984375,0.869791666666667,0.36460569840437,0.404338103630862,0.310052012739552,0.339077840820355,-0.114583333333333,0.0397324052264917,0.029025828080803,30,28,0.0666666666666667,25,10,19,16,22,8,117,85,20,9,15,12,24,13,2,3,4,2,1
200012,0.994791666666667,0.854166666666667,0.365088615790745,0.411597606159724,0.310692590543494,0.34424069430178,-0.140625,0.0465089903689789,0.0335481037582855,15,29,-0.933333333333333,28,25,31,27,26,54,29,15,15,37,29,28,38,3,1,6,10,5,3
200014,0.994791666666667,0.744791666666667,0.38457289594957,0.456598242764342,0.324473830765928,0.375293335845112,-0.25,0.0720253468147718,0.0508195050791844,30,50,-0.666666666666667,49,10,20,19,21,26,96,51,22,29,14,12,15,22,4,4,6,9,4
200015,0.994791666666667,0.901041666666667,0.444083946193837,0.534197004195194,0.366081844779597,0.425268878875026,-0.09375,0.0901130580013579,0.0591870340954294,13,20,-0.538461538461538,19,0,8,42,58,78,6,3,4,66,11,42,46,0,0,7,0,6,6
200016,1,0.921875,0.350292344679474,0.401735307233103,0.299554962588507,0.337293765955551,-0.078125,0.051442962553629,0.037738803367044,20,15,0.25,15,7,9,10,2,2,162,98,53,2,16,1,7,8,0,1,3,1,2
200017,1,0.828125,0.368281486579993,0.429435255468688,0.312074412074288,0.356363441620135,-0.171875,0.0611537688886952,0.0442890295458474,5,33,-5.6,33,4,29,46,35,62,16,13,9,31,37,32,37,3,2,5,10,7,6
200018,0.989583333333333,0.729166666666667,0.377491235796754,0.446483362866898,0.31849274898575,0.365692765264855,-0.260416666666667,0.0689921270701439,0.0472000162791055,35,54,-0.542857142857143,52,1,37,49,33,47,25,7,10,20,37,27,39,1,3,8,13,13,14
200020,0.984375,0.8125,0.394870490476928,0.470126295513579,0.331499878358493,0.384020331946569,-0.171875,0.0752558050366508,0.0525204535880766,50,39,0.22,36,17,25,36,30,45,39,14,52,15,35,22,18,3,14,3,9,5,2
200021,0.989583333333333,0.947916666666667,0.417569851053735,0.504284551649927,0.348209857459122,0.406794894845007,-0.0416666666666667,0.0867147005961919,0.0585850373858855,10,12,-0.2,10,44,10,13,4,11,110,85,68,8,10,7,4,6,2,1,1,0,0
200025,0.979166666666667,0.947916666666667,0.408263772729794,0.457717136263394,0.341344317668862,0.375436024104762,-0.03125,0.0494533635336003,0.0340917064358996,15,14,0.0666666666666667,10,17,23,63,63,19,7,2,25,13,24,47,71,0,0,0,0,6,4
200026,0.932291666666667,0.697916666666667,0.36926239325954,0.418334373883701,0.313237017337933,0.348136048540711,-0.234375,0.0490719806241613,0.0348990312027779,32,71,-1.21875,58,26,17,16,21,56,56,31,33,27,14,22,7,12,12,12,10,8,4
