middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-243-170-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-WM-038-003-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AM-220-134-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-238-185-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IM-699-002-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AM-249-163-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LM-239-075-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IF-625-225-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LF-233-277-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LM-247-095-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MF-329-001-N.jpg,"[.035, .035]"
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-MF-320-002-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-IM-709-103-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-200-228-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-BF-008-001-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-247-278-N.jpg,"[.035, .035]"
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-LM-217-162-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AM-208-143-N.jpg,"[.035, .035]"
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-WF-025-019-N.jpg,"[.035, .035]"
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0,0]","[0.0385,0]","[-0.0385,0]",img/neutralC/CFD-AF-230-193-N.jpg,"[.035, .035]"
