whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-221-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,10,13.696537000010721,None,13.696537000010721,None,8,0.35972149996086955,13.696537000010721,None,14.108597800019197,None,3.8567134268537075,16.332612500002142,None,16.332612500002142,16.69740930001717,16.447602599975653,16.647584199963603,None,16.332612500002142,None,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-228-173-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,9,,,,,,,,,,,3.712424849699399,20.35286250000354,20.35286250000354,20.35286250000354,20.713879699993413,20.480284399993252,20.680401099962182,None,20.35286250000354,20.35286250000354,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-049-032-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,2,,,,,,,,,,,3.9919839679358717,24.238035399990622,24.238035399990622,24.238035399990622,24.596776299993508,24.379955800017342,24.579963199968915,None,24.238035399990622,24.238035399990622,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-238-185-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,1,,,,,,,,,,,3.614228456913828,28.385245600016788,28.385245600016788,28.385245600016788,28.74631809996208,28.512809699983336,28.712911000009626,None,28.385245600016788,28.385245600016788,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-212-097-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,4,,,,,,,,,,,3.532064128256513,32.15280639997218,32.15280639997218,32.15280639997218,32.51273109996691,32.27941219997592,32.47915610001655,None,32.15280639997218,32.15280639997218,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-047-003-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,5,,,,,,,,,,,3.5821643286573144,35.83777669997653,35.83777669997653,35.83777669997653,36.19550849997904,35.98048149998067,36.19550849997904,None,35.83777669997653,35.83777669997653,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-306-003-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,13,,,,,,,,,,,3.770541082164329,39.57837429997744,39.57837429997744,39.57837429997744,39.92995169997448,39.69519419997232,39.89515100000426,None,39.57837429997744,39.57837429997744,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-205-141-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,3,,,,,,,,,,,3.9559118236472948,43.50825660000555,43.50825660000555,43.50825660000555,43.86141680000583,43.64465500001097,43.844602299970575,None,43.50825660000555,43.50825660000555,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-038-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,14,,,,,,,,,,,3.822645290581162,47.625493499974255,47.625493499974255,47.625493499974255,47.97891269996762,47.761198699998204,47.96075219998602,None,47.625493499974255,47.625493499974255,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-222-147-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,17,,,,,,,,,,,3.9238476953907817,51.614182199991774,51.614182199991774,51.614182199991774,51.977004099986516,51.744060900004115,51.94382410001708,None,51.614182199991774,51.614182199991774,0,999,A,A,A,2022-06-06_18h12.55.497,face_flanker_v1,2022.1.4,60.10348620086917,
