whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-212-097-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,4,,,,,20.227690671992605,None,20.227690671992605,None,8,1.1067349939985434,20.227690671992605,None,21.387692221003817,None,3.536072144288577,23.60762426900328,None,23.60762426900328,23.967209870999795,23.732807264997973,23.934135980991414,None,23.60762426900328,None,0,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-205-141-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,3.6713426853707416,27.357147211994743,27.357147211994743,27.357147211994743,27.71582948899595,27.49887135399331,27.698736053003813,None,27.357147211994743,27.357147211994743,0,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-303-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,3.6342685370741483,31.25793302699458,31.25793302699458,31.25793302699458,31.615912950990605,31.38318438999704,31.581784502996015,None,31.25793302699458,31.25793302699458,0,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-221-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,3.642284569138276,35.10311257599096,35.10311257599096,35.10311257599096,35.46483843399619,35.247134229997755,35.44860016700113,None,35.10311257599096,35.10311257599096,0,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-236-090-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,3.8647294589178354,38.94232378900051,38.94232378900051,38.94232378900051,39.295675845991354,39.07866479299264,39.278672592990915,['1'],38.94232378900051,38.94232378900051,1,[0.6276623989979271],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-228-173-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,3.972945891783567,43.01335182899493,43.01335182899493,43.01335182899493,43.37944140400214,43.16171882599883,43.362770715000806,['8'],43.01335182899493,43.01335182899493,1,[0.6378444059955655],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-306-003-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,13,,,,,,,,,,,,,,,3.629258517034068,47.212888396999915,47.212888396999915,47.212888396999915,47.57750249099627,47.3614025029965,47.56117127799371,['8'],47.212888396999915,47.212888396999915,1,[0.5086439570004586],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-039-025-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,12,,,,,,,,,,,,,,,3.685370741482966,51.0726642160007,51.0726642160007,51.0726642160007,51.42736497300211,51.210844097993686,51.411181036994094,['1'],51.0726642160007,51.0726642160007,1,[0.42267316600191407],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,19,,,,,,,,,,,,,,,3.880761523046092,54.99214000000211,54.99214000000211,54.99214000000211,55.34277142200153,55.12604266499693,55.32501431599667,['8'],54.99214000000211,54.99214000000211,1,[0.3989354419900337],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-049-032-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,3.6402805611222444,59.09494715600158,59.09494715600158,59.09494715600158,59.45675830899563,59.241194538000855,59.45675830899563,['1'],59.09494715600158,59.09494715600158,1,[0.35438419799902476],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
